item_id,user_id,action,vtime
i161,u2664,click,2014-09-02 14:25:00
i161,u2722,click,2014-09-01 16:04:00
i446,u2725,click,2014-09-01 19:52:00
i446,u2723,click,2014-09-01 16:16:00
i446,u2729,click,2014-09-01 10:28:00
i446,u2729,click,2014-09-03 23:50:00
i446,u2723,click,2014-09-03 15:15:00
i446,u2723,click,2014-09-01 14:17:00
i446,u2724,click,2014-09-03 10:12:00
i446,u2730,click,2014-09-02 10:01:00
i446,u2730,click,2014-09-01 21:49:00
i446,u2730,click,2014-09-03 02:10:00
i446,u2732,click,2014-09-01 18:41:00
i446,u2729,click,2014-09-03 19:29:00
i446,u2729,click,2014-09-01 11:25:00
i446,u2729,click,2014-09-03 18:09:00
i446,u2729,click,2014-09-03 23:48:00
i446,u2729,click,2014-09-03 16:12:00
i446,u2729,click,2014-09-01 13:38:00
i160,u2740,click,2014-09-02 12:55:00
i160,u2745,click,2014-09-01 14:36:00
i160,u2726,click,2014-09-02 13:12:00
i160,u2728,click,2014-09-01 18:02:00
i160,u2774,click,2014-09-01 21:57:00
i550,u2784,click,2014-09-02 21:43:00
i53,u2735,click,2014-09-01 12:45:00
i53,u2730,click,2014-09-02 08:40:00
i53,u2723,click,2014-09-03 13:37:00
i53,u2723,click,2014-09-02 15:32:00
i53,u2723,click,2014-09-02 09:25:00
i83,u2723,click,2014-09-03 20:14:00
i331,u2838,click,2014-09-01 10:38:00
i331,u2839,click,2014-09-01 14:08:00
i237,u2730,click,2014-09-01 14:46:00
i237,u2801,click,2014-09-02 10:52:00
i275,u2739,click,2014-09-01 03:20:00
i275,u2739,click,2014-09-02 05:32:00
i275,u2878,click,2014-09-01 00:30:00
i275,u2881,click,2014-09-01 21:23:00
i275,u2881,click,2014-09-03 21:20:00
i275,u2881,click,2014-09-02 23:00:00
i275,u2881,click,2014-09-03 18:07:00
i275,u2881,click,2014-09-01 17:11:00
i275,u2881,click,2014-09-01 21:46:00
i275,u2881,click,2014-09-03 18:57:00
i275,u2881,click,2014-09-03 17:41:00
i266,u2885,click,2014-09-02 23:42:00
i266,u2887,click,2014-09-02 19:03:00
i45,u2890,click,2014-09-03 00:11:00
i45,u2891,click,2014-09-03 08:52:00
i45,u2893,click,2014-09-01 11:04:00
i392,u2723,click,2014-09-03 22:02:00
i392,u2730,click,2014-09-03 00:00:00
i392,u2729,click,2014-09-01 13:30:00
i324,u2726,click,2014-09-02 14:30:00
i324,u2915,click,2014-09-02 07:50:00
i407,u2731,click,2014-09-02 18:02:00
i407,u2734,click,2014-09-01 22:41:00
i2,u2928,click,2014-09-01 09:11:00
i2,u2930,click,2014-09-02 13:35:00
i2,u2739,click,2014-09-02 20:54:00
i2,u2933,click,2014-09-01 18:14:00
i173,u2740,click,2014-09-03 11:18:00
