item1,item2,sim
i557,i118,0.8
i500,i222,0.8
i530,i85,0.8
i104,i527,0.8
i511,i369,0.8
i268,i356,0.8
i268,i232,0.8
i268,i302,0.8
i302,i466,0.8
i17,i387,0.8
i268,i466,0.8
i256,i482,0.8
i256,i181,0.8
i500,i527,0.8
i500,i104,0.8
i17,i132,0.8
i204,i369,0.8
i500,i441,0.8
i273,i557,0.8
i511,i357,0.8
i402,i369,0.8
i441,i222,0.8
i441,i104,0.8
i204,i511,0.8
i441,i527,0.8
i412,i256,0.8
i222,i104,0.8
i256,i330,0.8
i222,i527,0.8
i456,i129,0.8
i356,i410,0.8
i356,i277,0.8
i232,i466,0.8
i231,i357,0.8
i204,i456,0.8
i181,i387,0.8
i181,i132,0.8
i54,i425,0.8
i402,i231,0.8
i80,i333,0.8
i530,i466,0.8
i181,i17,0.8
i356,i85,0.8
i231,i129,0.8
i268,i85,0.8
i268,i530,0.8
i356,i530,0.8
i410,i530,0.8
i530,i302,0.8
i204,i129,0.8
i204,i357,0.8
i356,i232,0.8
i356,i302,0.8
i357,i369,0.8
i268,i277,0.8
i356,i466,0.8
i181,i330,0.8
i530,i232,0.8
i510,i380,0.8
i268,i410,0.8
i510,i62,0.8
i273,i118,0.8
i482,i181,0.8
i410,i85,0.8
i232,i302,0.8
i85,i232,0.8
i380,i62,0.8
i277,i530,0.8
i33,i557,0.8
i330,i387,0.8
i410,i277,0.8
i482,i330,0.8
i456,i369,0.8
i277,i232,0.8
i412,i387,0.8
i412,i330,0.8
i132,i387,0.8
i129,i357,0.8
i482,i387,0.8
i412,i132,0.8
i482,i132,0.8
i412,i17,0.8
i511,i129,0.8
i129,i369,0.8
i330,i17,0.8
i231,i369,0.8
i482,i17,0.8
i410,i232,0.8
i204,i402,0.8
i412,i181,0.8
i85,i302,0.8
i402,i456,0.8
i330,i132,0.8
i277,i302,0.8
i511,i456,0.8
i456,i357,0.8
i231,i456,0.8
i33,i273,0.8
i231,i511,0.8
i33,i118,0.8
i256,i17,0.8
i256,i132,0.8
i256,i387,0.8
i412,i482,0.8
i410,i302,0.8
i402,i511,0.8
i204,i231,0.8
i277,i85,0.8
i277,i466,0.8
i410,i466,0.8
i253,i450,0.8
i402,i357,0.8
i402,i129,0.8
i85,i466,0.8
i298,i369,0.4
i189,i437,0.4
i131,i277,0.4
i158,i330,0.4
i158,i511,0.4
i71,i388,0.4
i298,i357,0.4
i140,i518,0.4
i347,i530,0.4
i131,i302,0.4
i347,i277,0.4
i472,i54,0.4
i131,i164,0.4
i71,i530,0.4
i530,i518,0.4
i131,i530,0.4
i520,i164,0.4
i129,i439,0.4
i71,i85,0.4
i457,i85,0.4
i347,i410,0.4
i129,i415,0.4
i93,i85,0.4
i131,i85,0.4
i330,i205,0.4
i42,i456,0.4
i131,i232,0.4
i71,i557,0.4
i298,i118,0.4
i231,i128,0.4
i248,i357,0.4
i131,i466,0.4
i482,i422,0.4
i305,i437,0.4
i388,i232,0.4
i482,i114,0.4
i305,i357,0.4
i305,i129,0.4
i388,i302,0.4
i482,i158,0.4
i33,i157,0.4
i158,i132,0.4
i305,i456,0.4
i33,i476,0.4
i482,i403,0.4
i158,i17,0.4
i388,i466,0.4
i158,i50,0.4
i330,i326,0.4
i305,i369,0.4
i298,i129,0.4
i158,i387,0.4
i33,i71,0.4
i33,i388,0.4
i482,i128,0.4
i482,i506,0.4
i33,i298,0.4
i388,i85,0.4
i482,i205,0.4
i33,i74,0.4
i482,i50,0.4
i482,i420,0.4
i482,i271,0.4
i188,i62,0.4
i42,i511,0.4
i33,i506,0.4
i450,i272,0.4
i330,i459,0.4
i466,i518,0.4
i225,i118,0.4
i447,i164,0.4
i388,i118,0.4
i357,i415,0.4
i30,i380,0.4
i71,i232,0.4
i330,i506,0.4
i420,i459,0.4
i357,i437,0.4
i305,i402,0.4
i273,i157,0.4
i402,i543,0.4
i298,i557,0.4
i305,i204,0.4
i225,i273,0.4
i298,i456,0.4
i472,i456,0.4
i205,i85,0.4
i447,i181,0.4
i305,i231,0.4
i410,i4,0.4
i447,i387,0.4
i447,i132,0.4
i305,i511,0.4
i305,i189,0.4
i447,i17,0.4
i30,i62,0.4
i4,i530,0.4
i494,i62,0.4
i189,i346,0.4
i447,i330,0.4
i225,i557,0.4
i273,i476,0.4
i357,i439,0.4
i330,i128,0.4
i447,i482,0.4
i74,i118,0.4
i347,i61,0.4
i387,i128,0.4
i4,i85,0.4
i231,i437,0.4
i50,i369,0.4
i387,i506,0.4
i412,i346,0.4
i412,i555,0.4
i21,i311,0.4
i273,i74,0.4
i353,i518,0.4
i500,i385,0.4
i158,i402,0.4
i412,i447,0.4
i385,i527,0.4
i500,i494,0.4
i412,i272,0.4
i157,i476,0.4
i387,i459,0.4
i50,i129,0.4
i50,i387,0.4
i273,i388,0.4
i459,i425,0.4
i50,i456,0.4
i50,i128,0.4
i457,i466,0.4
i511,i439,0.4
i414,i85,0.4
i387,i205,0.4
i50,i357,0.4
i273,i298,0.4
i21,i120,0.4
i158,i204,0.4
i412,i374,0.4
i385,i104,0.4
i412,i326,0.4
i510,i311,0.4
i118,i476,0.4
i412,i420,0.4
i412,i271,0.4
i412,i158,0.4
i385,i140,0.4
i119,i557,0.4
i4,i466,0.4
i412,i114,0.4
i387,i272,0.4
i273,i506,0.4
i387,i346,0.4
i387,i555,0.4
i4,i302,0.4
i119,i273,0.4
i4,i232,0.4
i119,i441,0.4
i387,i326,0.4
i412,i459,0.4
i119,i118,0.4
i385,i222,0.4
i412,i128,0.4
i500,i119,0.4
i412,i506,0.4
i85,i518,0.4
i99,i452,0.4
i385,i441,0.4
i412,i50,0.4
i119,i527,0.4
i412,i205,0.4
i85,i296,0.4
i119,i104,0.4
i412,i403,0.4
i119,i222,0.4
i50,i132,0.4
i50,i17,0.4
i71,i302,0.4
i330,i50,0.4
i347,i457,0.4
i248,i369,0.4
i33,i359,0.4
i296,i302,0.4
i296,i232,0.4
i347,i85,0.4
i10,i85,0.4
i253,i272,0.4
i457,i232,0.4
i369,i415,0.4
i494,i441,0.4
i414,i530,0.4
i369,i439,0.4
i472,i369,0.4
i296,i466,0.4
i42,i357,0.4
i373,i466,0.4
i277,i518,0.4
i129,i437,0.4
i71,i466,0.4
i472,i129,0.4
i131,i410,0.4
i253,i418,0.4
i402,i472,0.4
i253,i76,0.4
i42,i129,0.4
i71,i118,0.4
i10,i530,0.4
i472,i357,0.4
i359,i557,0.4
i248,i456,0.4
i248,i129,0.4
i472,i425,0.4
i373,i302,0.4
i457,i393,0.4
i120,i425,0.4
i273,i359,0.4
i330,i420,0.4
i62,i311,0.4
i494,i527,0.4
i330,i271,0.4
i510,i494,0.4
i420,i425,0.4
i359,i118,0.4
i510,i30,0.4
i120,i54,0.4
i510,i188,0.4
i158,i231,0.4
i273,i71,0.4
i511,i415,0.4
i273,i501,0.4
i93,i466,0.4
i10,i232,0.4
i457,i302,0.4
i373,i232,0.4
i10,i302,0.4
i373,i85,0.4
i10,i460,0.4
i347,i232,0.4
i347,i302,0.4
i10,i466,0.4
i42,i369,0.4
i93,i232,0.4
i347,i393,0.4
i93,i302,0.4
i347,i466,0.4
i494,i222,0.4
i494,i104,0.4
i501,i118,0.4
i330,i555,0.4
i33,i501,0.4
i356,i296,0.4
i17,i205,0.4
i128,i369,0.4
i356,i93,0.4
i268,i205,0.4
i268,i373,0.4
i268,i93,0.4
i356,i373,0.4
i356,i205,0.4
i132,i346,0.4
i356,i457,0.4
i132,i555,0.4
i268,i388,0.4
i268,i61,0.4
i353,i268,0.4
i268,i71,0.4
i61,i232,0.4
i61,i85,0.4
i17,i506,0.4
i61,i457,0.4
i268,i10,0.4
i268,i414,0.4
i356,i518,0.4
i268,i4,0.4
i530,i296,0.4
i353,i356,0.4
i437,i369,0.4
i268,i131,0.4
i17,i128,0.4
i17,i459,0.4
i17,i326,0.4
i277,i205,0.4
i61,i302,0.4
i132,i459,0.4
i205,i232,0.4
i511,i128,0.4
i128,i129,0.4
i204,i42,0.4
i410,i93,0.4
i410,i373,0.4
i410,i205,0.4
i128,i357,0.4
i402,i437,0.4
i232,i518,0.4
i132,i272,0.4
i410,i457,0.4
i511,i50,0.4
i277,i93,0.4
i268,i518,0.4
i511,i298,0.4
i231,i543,0.4
i356,i347,0.4
i414,i302,0.4
i356,i131,0.4
i356,i4,0.4
i356,i414,0.4
i277,i373,0.4
i268,i296,0.4
i356,i10,0.4
i356,i71,0.4
i61,i466,0.4
i61,i393,0.4
i356,i61,0.4
i356,i388,0.4
i268,i457,0.4
i132,i326,0.4
i353,i410,0.4
i402,i128,0.4
i231,i439,0.4
i256,i506,0.4
i256,i128,0.4
i530,i93,0.4
i256,i459,0.4
i256,i326,0.4
i353,i140,0.4
i403,i330,0.4
i353,i85,0.4
i403,i17,0.4
i403,i132,0.4
i403,i387,0.4
i256,i555,0.4
i256,i346,0.4
i277,i457,0.4
i353,i232,0.4
i76,i456,0.4
i353,i302,0.4
i256,i272,0.4
i380,i311,0.4
i17,i272,0.4
i17,i555,0.4
i231,i415,0.4
i17,i346,0.4
i353,i466,0.4
i402,i415,0.4
i402,i439,0.4
i530,i61,0.4
i530,i388,0.4
i422,i132,0.4
i410,i518,0.4
i511,i76,0.4
i132,i205,0.4
i268,i347,0.4
i256,i422,0.4
i422,i17,0.4
i76,i369,0.4
i420,i17,0.4
i353,i277,0.4
i302,i518,0.4
i277,i296,0.4
i256,i447,0.4
i256,i403,0.4
i530,i457,0.4
i256,i158,0.4
i420,i132,0.4
i256,i114,0.4
i132,i128,0.4
i414,i232,0.4
i420,i54,0.4
i256,i205,0.4
i410,i296,0.4
i226,i164,0.4
i353,i530,0.4
i132,i506,0.4
i76,i357,0.4
i76,i129,0.4
